project,rejected,accepted,
irssi,99,401,
libgit2,70,430,
libgit2,108,392,
libgit2,108,392,
libgit2,79,421,
libgit2,77,423,
ligbit2,114,386,
libgit2,64,74,
mpv,228,272,
mpv,416,84,
mpv,430,70,
radare,49,451,
radare,38,462,
radare,65,435,
radare,50,450,
radare,93,407,
radare,135,365,
radare,403,97,
radare,472,28,
radare,469,31,
radare,219,114,
mapready,20,460,
opentx,50,450,
opentx,71,429,
opentx,77,423,
opentx,36,178,
machinekit,62,438,
machinekit,52,291,
ossec-hids,80,420,
ossec-hids,43,243,
freerdp,47,453,
freerdp,46,454,
freerdp,71,429,
freerdp,53,447,
freerdp,11,324,
dmd,60,440,
dmd,75,425,
dmd,64,436,
dmd,63,437,
dmd,68,432,
dmd,67,433,
dmd,70,430,
dmd,48,452,
dmd,59,441,
dmd,60,440,
dmd,54,446,
dmd,63,437,
dmd,72,428,
dmd,63,437,
curl,484,16,
curl,449,51,
curl,424,10,
grpc,67,433,
grpc,86,414,
grpc,77,423,
grpc,112,388,
grpc,85,415,
grpc,95,405,
grpc,86,414,
JohnTheRipper,45,455,
JohnTheRipper,69,431,
JohnTheRipper,28,232,
mruby,55,445,
mruby,84,416,
mruby,68,432,
mruby,75,425,
mruby,76,424,
mruby,39,116,
poco,93,407,
poco,90,312,
RetroArch,53,447,
RetroArch,39,461,
RetroArch,41,459,
RetroArch,39,461,
RetroArch,35,465,
systemd,30,372,
systemd,49,451,
systemd,32,468,
systemd,60,440,
systemd,61,439,
total,8517,29265,29.10%
